#,languange,title,Free on-line version,GitHub repo
76,R,Analyzing Sensory Data with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
77,R,Implementing Reproducible Research,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
78,R,Programming Graphical User Interfaces in R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
79,R,"R Graphics, Third Edition","https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
80,R,Reproducible Finance with R: Code Flows and Shiny Apps for Portfolio Analysis,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
81,R,Using R for Introductory Statistics,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
82,R,Basics of Matrix Algebra for Statistics with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
83,R,Graphical Data Analysis with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
84,R,Handbook of Educational Measurement and Psychometrics Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
85,R,Introductory Fisheries Analyses with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
86,R,R and MATLAB,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
87,R,Using R for Numerical Analysis in Science and Engineering,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
88,R,R Markdown: The Definitive Guide,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
89,R,Extending R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
90,R,blogdown: Creating Websites with R Markdown,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
91,R,Growth Curve Analysis and Visualization Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
92,R,Spatial Microsimulation with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
93,R,R Primer,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
94,R,The Essentials of Data Science: Knowledge Discovery Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
95,R,Dynamic Documents with R and knitr,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
96,R,Flexible Regression and Smoothing: Using GAMLSS in R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
97,R,Testing R Code,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
98,R,bookdown: Authoring Books and Technical Documents with R Markdown,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
99,R,Computational Actuarial Science with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
100,R,Using the R Commander: A Point-and-Click Interface for R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
101,R,Statistics in Toxicology Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
102,R,"Parallel Computing for Data Science: With Examples in R, C++ and CUDA","https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
103,R,Data Science in R: A Case Studies Approach to Computational Reasoning and Problem Solving,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
104,R,Multiple Factor Analysis by Example Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
105,R,Stated Preference Methods Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
106,R,Introduction to Scientific Programming and Simulation Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
107,R,Customer and Business Analytics: Applied Data Mining for Business Decision Making Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
108,R,Statistical Computing in C++ and R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
109,R,R by Example,https://link.springer.com/book/10.1007/978-3-031-76074-7,
110,R,Heart Rate Variability Analysis with the R package RHRV,https://link.springer.com/book/10.1007/978-3-031-65753-5,
111,R,Audit Analytics,https://link.springer.com/book/10.1007/978-3-031-47464-4,
112,R,Discrete Choice Analysis with R,https://link.springer.com/book/10.1007/978-3-031-20719-8,
113,R,Magnetic Resonance Brain Imaging,https://link.springer.com/book/10.1007/978-3-031-38949-8,
114,R,Epidemics,https://www.springer.com/book/9783031120558,
115,R,Geostatistics for Compositional Data with R,https://www.springer.com/book/9783030825676,
116,R,Mixture and Hidden Markov Models with R,https://www.springer.com/book/9783031014383,
117,R,Modern Optimization with R,https://www.springer.com/book/9783030728182,
118,R,Luminescence,https://www.springer.com/book/9783030673109,
119,R,Audit Analytics Data Science for the Accounting Profession,https://www.springer.com/book/9783030490904,
120,R,Retirement Income Recipes in R From Ruin Probabilities to Intelligent Drawdowns,https://www.springer.com/book/9783030514334,
121,R,Random Forests with R,https://www.springer.com/book/9783030564841,
122,R,Chemometrics with R Multivariate Data Analysis in the Natural and Life Sciences,https://www.springer.com/book/9783662620267,
123,R,"An Introduction to Data Analysis in R Hands-on Coding, Data Mining, Visualization and Statistics from Scratch",https://www.springer.com/book/9783030489960,
124,R,Statistical Analysis of Network Data with R,https://www.springer.com/book/9783030441289,
125,R,Magnetic Resonance Brain Imaging Modeling and Data Analysis Using R,https://www.springer.com/book/9783030291822,
126,R,R For Marketing Research and Analytics Authors: Chris ChapmanElea McDonnell Feit,https://www.springer.com/book/9783030143152,
127,R,Elements of Copula Modeling with R,https://www.springer.com/book/9783319896342,
128,R,Semiparametric Regression with R,https://www.springer.com/book/9781493988518,
129,R,Epidemics Models and Data using R,https://www.springer.com/book/9783319974866,
130,R,Modern Psychometrics with R,https://www.springer.com/book/9783319931753,
131,R,Computerized Adaptive and Multistage Testing with R Using Packages catR and mstR,https://www.springer.com/book/9783319692173,
132,R,Singular Spectrum Analysis with R,https://www.springer.com/book/9783662573785,
133,R,Sound Analysis and Synthesis with R,https://www.springer.com/book/9783319776453,
134,R,Simulation and Inference for Stochastic Processes with YUIMA A Comprehensive R Framework for SDEs and Other Stochastic Processes,https://www.springer.com/book/9783319555676,
135,R,Numerical Ecology with R,https://www.springer.com/book/9783319714035,
136,R,Heart Rate Variability Analysis with the R package RHRV,https://www.springer.com/book/9783319653549,
137,R,Bayesian Cost-Effectiveness Analysis with the R package BCEA,https://www.springer.com/book/9783319557168,
138,R,Learn ggplot2 Using Shiny App,https://www.springer.com/book/9783319530185,
139,R,Data Wrangling with R,https://www.springer.com/book/9783319455983,
140,R,Applied Survival Analysis Using R,https://www.springer.com/book/9783319312439,
141,R,Political Analysis Using R,https://www.springer.com/book/9783319234458,
142,R,A User’s Guide to Network Analysis in R,https://www.springer.com/book/9783319238821,
143,R,Meta-Analysis with R,https://www.springer.com/book/9783319214153,
144,R,Primer to Analysis of Genomic Data Using R,https://www.springer.com/book/9783319144740,
145,R,R for Marketing Research and Analytics,https://www.springer.com/book/9783319144351,
146,R,Multistate Analysis of Life Histories with R,https://www.springer.com/book/9783319083827,
147,R,Modern Optimization with R,https://www.springer.com/book/9783319082622,
148,R,Bayesian Networks in R,https://www.springer.com/book/9781461464457,
149,R,Statistical Analysis of Network Data with R,https://www.springer.com/book/9781493909827,
150,R,Functional and Phylogenetic Ecology in R,https://www.springer.com/book/9781461495413,
151,R,XML and Web Technologies for Data Sciences with R,https://www.springer.com/book/9781461478997,
152,R,Analyzing Compositional Data with R,https://www.springer.com/book/9783642368080,
153,R,Applied Spatial Data Analysis with R,https://www.springer.com/book/9781461476177,
154,R,Seamless R and C++ Integration with Rcpp,https://www.springer.com/book/9781461468677,
155,R,Modeling Psychophysical Data in R,https://www.springer.com/book/9781461444749,
156,R,Modeling Dose-Response Microarray Data in Early Drug Development Experiments Using R,https://www.springer.com/book/9783642240065,
157,R,Solving Differential Equations in R,https://www.springer.com/book/9783642280696,
158,R,Graphical Models with R,https://www.springer.com/book/9781461422983,
159,R,R by Example,https://www.springer.com/book/9781461413646,
160,R,Biostatistics with R,https://www.springer.com/book/9781461413011,
161,R,Behavioral Research Data Analysis with R,https://www.springer.com/book/9781461412373,
162,R,Competing Risks and Multistate Models with R,https://www.springer.com/book/9781461420347,
163,R,Analysis of Phylogenetics and Evolution with R,https://www.springer.com/book/9781461417422,
164,R,Business Analytics for Managers,https://www.springer.com/book/9781461404057,
165,R,Data Mining with Rattle and R,https://www.springer.com/book/9781441998897,
166,R,An Introduction to Applied Multivariate Analysis with R,https://www.springer.com/book/9781441996497,
167,R,Chemometrics with R,https://www.springer.com/book/9783642178405,
168,R,Numerical Ecology with R,https://www.springer.com/book/9781441979759,
169,R,Forest Analytics with R,https://www.springer.com/book/9781441977618,
170,R,Wavelet Methods in Statistics with R,https://www.springer.com/book/9780387759609,
171,R,Introduction to Probability Simulation and Gibbs Sampling with R,https://www.springer.com/book/9780387402734,
172,R,Bioconductor Case Studies,https://www.springer.com/book/9780387772394,
173,R,R Through Excel,https://www.springer.com/book/9781441900517,
174,R,Introducing Monte Carlo Methods with R,https://www.springer.com/book/9781441915757,
175,R,A Beginner's Guide to R,https://www.springer.com/book/9780387938363,
176,R,Functional Data Analysis with R and MATLAB,Functional Data Analysis with R and MATLAB,
177,R,Dynamic Linear Models with R,https://www.springer.com/book/9780387772370,
178,R,A Primer of Ecology with R,https://www.springer.com/book/9780387898810,
179,R,Introductory Time Series with R,https://www.springer.com/book/9780387886978,
180,R,Bayesian Computation with R,https://www.springer.com/book/9780387922973,
181,R,Applied Statistical Genetics with R,https://www.springer.com/book/9780387895536,
182,R,Morphometrics with R,https://www.springer.com/book/9780387777894,
183,R,Statistical Methods for Environmental Epidemiology with R,https://www.springer.com/book/9780387781662,
184,R,Nonlinear Regression with R,https://www.springer.com/book/9780387096155,
185,R,Applied Econometrics with R,https://www.springer.com/book/9780387773162,
186,R,Analysis of Integrated and Cointegrated Time Series with R,https://www.springer.com/book/9780387759661,
187,R,Applied Spatial Data Analysis with R,https://www.springer.com/book/9780387781709,
188,R,Data Manipulation with R,https://www.springer.com/book/9780387747309,
189,R,Lattice,https://www.springer.com/book/9780387759685,
190,R,Interactive and Dynamic Graphics for Data Analysis,https://www.springer.com/book/9780387717616,
191,R,Bayesian Computation with R,https://www.springer.com/book/9780387713847,
192,R,Analysis of Phylogenetics and Evolution with R,https://www.springer.com/book/9780387329147,
193,R,Analysis of Integrated and Cointegrated Time Series with R,https://www.springer.com/book/9780387279596,
194,R,Forecasting: Principles and Practice,https://otexts.com/fpp3/,
195,R,Data Science A First Introduction,https://datasciencebook.ca/,
196,R,"R Graphics Cookbook, 2nd edition",https://r-graphics.org/,
197,R,R Programming for Data Science,https://bookdown.org/rdpeng/rprogdatascience/,
198,R,Data Visualization A practical introduction,https://socviz.co/,
199,R,Data Science Live Book,https://livebook.datascienceheroes.com/,
200,R,"Data Science: Theories, Models, Algorithms, and Analytics",https://srdas.github.io/MLBook/,
201,R e python,"Data Science at the Command Line",https://jeroenjanssens.com/dsatcl/,
202,R,The Art of Data Science,https://bookdown.org/rdpeng/artofdatascience/,
203,R,Big Book of R,https://www.bigbookofr.com/,
204,R,Hands-On Programming with R,https://rstudio-education.github.io/hopr/,
